Administering_IC_K99,Congressional_District_K99,Department_K99,Organization_Name_K99,Organization_City_K99,Organization_State_K99,Organization_Type_K99,Funding_IC.s._K99,K99_inst_pub_priv,same_dept,same_insti,Administering_IC_R00,Congressional_District_R00,Department_R00,Organization_Name_R00,Organization_City_R00,Organization_State_R00,Organization_Type_R00,Fiscal_Year_R00,Funding_IC.s._R00,R00_inst_pub_priv,Grant_type,Retained_Y_N,years_to_obtain_R01,Obtained_R01,ga_gender,K99_pub_priv,R00_pub_priv,Top_25_NIH_funding_K99,Top_25_NIH_funding_R00
NIDCR,3,NEUROSCIENCES,U_OF_PENNSYLVANIA_K99,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,NIDCR,Private,FALSE,TRUE,NIDCR,3,UnavaiLABle,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,Domestic Higher Education,2018,NIDCR,Private,DP2,STAYED,4,YES,male,Private,Private,YES,YES
NIAID,12,UnavaiLABle,SLOAN-KETTERING_INST_CAN_RES_K99,NEW YORK,NY,Research Institutes,NIAID,Private,FALSE,FALSE,NIAID,3,MICROBIOLOGY/IMMUN/VIROLOGY,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2018,NIAID,Private,R01,LEFT,4,YES,male,Private,Private,YES,YES
NCI,12,UnavaiLABle,SLOAN-KETTERING_INST_CAN_RES_K99,NEW YORK,NY,Research Institutes,NCI,Private,FALSE,FALSE,NCI,13,PATHOLOGY,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2014,NCI,Private,R01,LEFT,6,YES,female,Private,Private,YES,YES
NINR,13,INTERNAL MEDICINE/MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NINR,Private,TRUE,TRUE,NINR,13,INTERNAL MEDICINE/MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2009,NINR,Private,R01,STAYED,4,YES,female,Private,Private,YES,YES
NHLBI,18,INTERNAL MEDICINE/MEDICINE,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NHLBI,Private,TRUE,FALSE,NHLBI,13,INTERNAL MEDICINE/MEDICINE,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2012,NHLBI,Private,Unknown,LEFT,10,NO,male,Private,Private,YES,YES
NIAID,7,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIAID,Private,TRUE,TRUE,NIAID,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2008,NIAID,Private,R01,STAYED,5,YES,female,Private,Private,YES,YES
NIMH,13,UnavaiLABle,NEW_YORK_STATE_PSY_K99,NEW YORK,NY,Independent Hospitals,NIMH,Private,FALSE,FALSE,NIMH,13,PSYCHIATRY,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2019,NIMH,Private,Unknown,LEFT,3,NO,male,Private,Private,NO,YES
NINDS,12,NONE,PRINCETON_U_K99,Princeton,NJ,ORGANIZED RESEARCH UNITS,NINDS,Private,FALSE,FALSE,NINDS,13,NEUROSCIENCES,COLUMBIA_U_HEALTH_SCI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2017,NINDS,Private,Unknown,LEFT,6,NO,male,Private,Private,NO,YES
NIEHS,7,PUBLIC HEALTH & PREV MEDICINE,HARVARD_SCH_OF_PUBLIC_HEALTH_K99,BOSTON,MA,SCHOOLS OF PUBLIC HEALTH,NIEHS,Private,TRUE,FALSE,NIEHS,13,PUBLIC HEALTH & PREV MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2013,NIEHS,Private,R35,LEFT,7,YES,male,Private,Private,NO,YES
NCI,12,PATHOLOGY,U_OF_MICHIGAN_AT_ANN_ARBOR_K99,ANN ARBOR,MI,SCHOOLS OF MEDICINE,NCI,Public,FALSE,FALSE,NCI,3,BIOLOGY,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2015,NCI,Private,R01,LEFT,5,YES,male,Public,Private,YES,YES
NHGRI,3,BIOSTATISTICS & OTHER MATH SCI,OHIO_STATE_U_K99,COLUMBUS,OH,SCHOOLS OF ARTS AND SCIENCES,NHGRI,Public,FALSE,FALSE,NHGRI,5,UnavaiLABle,VANDERBILT_U_MED_CTR_R00,NASHVILLE,TN,Independent Hospitals,2021,NHGRI,Private,Unknown,LEFT,1,NO,male,Public,Private,NO,NO
NICHD,13,PUBLIC HEALTH & PREV MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NICHD,Private,TRUE,TRUE,NICHD,13,PUBLIC HEALTH & PREV MEDICINE,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2018,NICHD,Private,R01,STAYED,3,YES,female,Private,Private,YES,YES
NIDCD,7,BIOLOGY,NORTHWESTERN_U_K99,Chicago,IL,SCHOOLS OF ARTS AND SCIENCES,NIDCD,Private,FALSE,FALSE,NIDCD,1,NEUROSCIENCES,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2015,NIDCD,Private,R01,LEFT,5,YES,female,Private,Private,NO,YES
NIMH,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIMH,Private,TRUE,FALSE,NIMH,7,UnavaiLABle,FRED_HUTCHINSON_CANCER_RES_CTR_R00,SEATTLE,WA,Research Institutes,2011,NIMH,Private,R01,LEFT,4,YES,male,Private,Private,YES,YES
NINR,5,NONE,EMORY_U_K99,ATLANTA,GA,SCHOOLS OF NURSING,NINR,Private,TRUE,TRUE,NINR,5,NONE,EMORY_U_R00,ATLANTA,GA,SCHOOLS OF NURSING,2020,NINR,Private,Unknown,STAYED,2,NO,male,Private,Private,YES,YES
AHRQ,18,BIOSTATISTICS & OTHER MATH SCI,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF ARTS AND SCIENCES,AHRQ,Private,FALSE,TRUE,AHRQ,18,UnavaiLABle,STANFORD_U_R00,STANFORD,CA,Domestic Higher Education,2014,AHRQ,Private,Unknown,STAYED,9,NO,male,Private,Private,YES,YES
NINDS,18,INTERNAL MEDICINE/MEDICINE,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NINDS,Private,FALSE,FALSE,NINDS,13,RADIATION-DIAGNOSTIC/ONCOLOGY,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2013,NINDS,Private,R01,LEFT,4,YES,female,Private,Private,YES,YES
NIDDK,1,PATHOLOGY,WASHINGTON_U_K99,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,NIDDK,Private,FALSE,FALSE,NIDDK,18,MICROBIOLOGY/IMMUN/VIROLOGY,STANFORD_U_R00,STANFORD,CA,SCHOOLS OF MEDICINE,2021,NIDDK,Private,Unknown,LEFT,1,NO,female,Private,Private,YES,YES
NIAMS,18,DERMATOLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIAMS,Private,FALSE,FALSE,NIAMS,7,BIOCHEMISTRY,NORTHWESTERN_U_R00,Chicago,IL,SCHOOLS OF ARTS AND SCIENCES,2016,NIAMS,Private,R01,LEFT,5,YES,female,Private,Private,YES,NO
NCI,49,UnavaiLABle,SCRIPPS_RES_INST_THE_K99,LA JOLLA,CA,Other Domestic Non-Profits,NCI,Private,TRUE,FALSE,NCI,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2019,NCI,Private,Unknown,LEFT,4,NO,male,Private,Private,YES,YES
NIBIB,5,RADIATION-DIAGNOSTIC/ONCOLOGY,VANDERBILT_U_K99,Nashville,TN,SCHOOLS OF MEDICINE,NIBIB,Private,FALSE,FALSE,NIBIB,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2016,NIBIB,Private,R01,LEFT,4,YES,male,Private,Private,YES,YES
NHLBI,18,INTERNAL MEDICINE/MEDICINE,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NHLBI,Private,TRUE,FALSE,NHLBI,1,INTERNAL MEDICINE/MEDICINE,WASHINGTON_U_R00,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,2014,NHLBI,Private,R01,LEFT,4,YES,male,Private,Private,YES,YES
NIA,3,INTERNAL MEDICINE/MEDICINE,U_OF_PENNSYLVANIA_K99,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,NIA,Private,TRUE,TRUE,NIA,3,INTERNAL MEDICINE/MEDICINE,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2009,NIA,Private,R01,STAYED,5,YES,male,Private,Private,YES,YES
NIBIB,7,PUBLIC HEALTH & PREV MEDICINE,JOHNS_HOPKINS_U_K99,BALTIMORE,MD,SCHOOLS OF PUBLIC HEALTH,NIBIB,Private,TRUE,TRUE,NIBIB,7,PUBLIC HEALTH & PREV MEDICINE,JOHNS_HOPKINS_U_R00,BALTIMORE,MD,SCHOOLS OF PUBLIC HEALTH,2017,NIBIB,Private,R01,STAYED,6,YES,Unknown,Private,Private,YES,YES
NCI,7,GENETICS,HARVARD_SCH_OF_PUBLIC_HEALTH_K99,BOSTON,MA,SCHOOLS OF PUBLIC HEALTH,NCI,Private,FALSE,FALSE,NCI,7,BIOCHEMISTRY,NORTHWESTERN_U_R00,CHICAGO,IL,SCHOOLS OF MEDICINE,2017,NCI,Private,R01,LEFT,3,YES,male,Private,Private,NO,NO
NIGMS,18,MICROBIOLOGY/IMMUN/VIROLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIGMS,Private,FALSE,TRUE,NIGMS,18,UnavaiLABle,STANFORD_U_R00,STANFORD,CA,Domestic Higher Education,2014,NIGMS,Private,DP2,STAYED,4,YES,male,Private,Private,YES,YES
NIA,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIA,Private,TRUE,TRUE,NIA,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2021,NIA,Private,R01,STAYED,2,YES,female,Private,Private,YES,YES
NCI,7,UnavaiLABle,DANA-FARBER_CANCER_INST_K99,BOSTON,MA,Independent Hospitals,NCI,Private,TRUE,FALSE,NCI,7,UnavaiLABle,FRED_HUTCHINSON_CANCER_RES_CTR_R00,SEATTLE,WA,Research Institutes,2017,NCI,Private,Unknown,LEFT,6,NO,female,Private,Private,NO,YES
NICHD,28,UnavaiLABle,CHILDRENS_HOSP_OF_LOS_ANGELES_K99,LOS ANGELES,CA,Independent Hospitals,NICHD,Private,TRUE,FALSE,NICHD,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_R00,BOSTON,MA,Independent Hospitals,2022,NICHD,Private,Unknown,LEFT,1,NO,female,Private,Private,NO,YES
NIAMS,12,BIOLOGY,ROCKEFELLER_U_K99,NEW YORK,NY,GRADUATE SCHOOLS,NIAMS,Private,FALSE,FALSE,NIAMS,7,UnavaiLABle,FRED_HUTCHINSON_CANCER_RES_CTR_R00,SEATTLE,WA,Research Institutes,2013,NIAMS,Private,R01,LEFT,5,YES,male,Private,Private,NO,YES
NHLBI,5,BIOMEDICAL ENGINEERING,VANDERBILT_U_K99,Nashville,TN,BIOMED ENGR/COL ENGR/ENGR STA,NHLBI,Private,FALSE,FALSE,NHLBI,1,ENGINEERING (ALL TYPES),WASHINGTON_U_R00,SAINT LOUIS,MO,BIOMED ENGR/COL ENGR/ENGR STA,2020,NHLBI,Private,Unknown,LEFT,2,NO,male,Private,Private,YES,YES
NIGMS,12,PHARMACOLOGY,U_OF_CALIFORNIA_SAN_FRANCISCO_K99,SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,NIGMS,public,FALSE,FALSE,NIGMS,12,ANATOMY/CELL BIOLOGY,NEW_YORK_U_SCH_OF_MED_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2017,NIGMS,Private,R01,LEFT,4,YES,female,public,Private,YES,NO
NIGMS,13,BIOCHEMISTRY,U_OF_CALIFORNIA_BERKELEY_K99,BERKELEY,CA,GRADUATE SCHOOLS,NIGMS,public,FALSE,FALSE,NIGMS,3,PHARMACOLOGY,YALE_U_R00,NEW HAVEN,CT,SCHOOLS OF MEDICINE,2020,NIGMS,Private,Unknown,LEFT,3,NO,female,public,Private,NO,YES
NIMH,18,PSYCHIATRY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIMH,Private,FALSE,FALSE,NIMH,5,GENETICS,EMORY_U_R00,ATLANTA,GA,SCHOOLS OF MEDICINE,2022,NIMH,Private,Unknown,LEFT,1,NO,male,Private,Private,YES,YES
NIMH,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIMH,Private,TRUE,TRUE,NIMH,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2022,NIMH,Private,Unknown,STAYED,0,NO,female,Private,Private,YES,YES
NINDS,12,NEUROSURGERY,U_OF_CALIFORNIA_SAN_FRANCISCO_K99,SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,NINDS,public,TRUE,FALSE,NINDS,7,NEUROSURGERY,NORTHWESTERN_U_R00,CHICAGO,IL,SCHOOLS OF MEDICINE,2014,NINDS,Private,R01,LEFT,2,YES,male,public,Private,YES,NO
NIAID,12,GENETICS,ROCKEFELLER_U_K99,NEW YORK,NY,GRADUATE SCHOOLS,NIAID,Private,FALSE,FALSE,NIAID,13,MICROBIOLOGY/IMMUN/VIROLOGY,ICAHN_SCH_OF_MED_AT_MOUNT_SINAI_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2014,NIAID,Private,R01,LEFT,4,YES,male,Private,Private,NO,YES
NHGRI,52,INTERNAL MEDICINE/MEDICINE,U_OF_CALIFORNIA_SAN_DIEGO_K99,LA JOLLA,CA,SCHOOLS OF MEDICINE,NHGRI,public,FALSE,FALSE,NHGRI,5,UnavaiLABle,VANDERBILT_U_MED_CTR_R00,NASHVILLE,TN,Independent Hospitals,2022,NHGRI,Private,Unknown,LEFT,1,NO,male,public,Private,YES,NO
NCI,12,UnavaiLABle,SLOAN-KETTERING_INST_CAN_RES_K99,NEW YORK,NY,Research Institutes,NCI,Private,FALSE,FALSE,NCI,3,BIOLOGY,U_OF_PENNSYLVANIA_R00,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,2022,NCI,Private,Unknown,LEFT,0,NO,male,Private,Private,YES,YES
NIMH,18,NEUROLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIMH,Private,TRUE,FALSE,NIMH,7,NEUROLOGY,NORTHWESTERN_U_R00,CHICAGO,IL,SCHOOLS OF MEDICINE,2020,NIMH,Private,Unknown,LEFT,2,NO,male,Private,Private,YES,NO
NIDCR,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIDCR,Private,TRUE,TRUE,NIDCR,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_R00,BOSTON,MA,Independent Hospitals,2020,NIDCR,Private,Unknown,STAYED,3,NO,male,Private,Private,YES,YES
